# ----------------------------------------
# Curious
# Curious Data Export MASTER-Free-form 1
# 20250127-20250130
# ----------------------------------------

Date + hour (YYYYMMDDHH),Landing page + query string,Page title,Session source,Browser,Views,Views per session,Views per active user,Average engagement time per session
2025012812,/2054/index.html?EID=OC1,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,4,4,4,0
2025012812,/2054/index.html?EID=OC1,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,8
2025012812,/2054/index.html?EID=OC1,Get Started | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,1
2025012812,/2054/index.html?EID=OC1,Scan a QR code to start,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012812,/2054/index.html?EID=OC1,Scan to Start | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,9
2025012814,/2054/index.html?EID=O1&OID=141A,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,5,5,5,0
2025012814,/2054/index.html?EID=O1&OID=141A,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,6
2025012814,/2054/index.html?EID=O1&OID=141A,Explore: Otters,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,1
2025012814,/2054/index.html?EID=O1&OID=141A,Explore: Sub 6,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,28
2025012814,/2054/index.html?EID=O1&OID=141A,Factfile: Brissle Tail Filefish,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,29
2025012814,/2054/index.html?EID=O1&OID=141A,Factfile: White-barred Gobi,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,31
2025012814,/2054/index.html?EID=O1&OID=141A,Get Started | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,17
